"CodTransaccion","NroFormulario","codcampus","Marca","Categoria","tipo","Valor Unitario","Proveedor","NroSerial","EmpresaResponsable","Estado","Ubicacion","Nombre","codebar",
"001","001","cp00001","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39173","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00001*",
"002","002","mon00002","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070723","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00002*",
"003","003","te00003","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091706","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00003*",
"004","004","mou00004","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00004*",
"005","005","cp00005","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39208","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00005*",
"006","006","mon00006","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070880","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00006*",
"007","007","te00007","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130090718","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00007*",
"008","008","mou00008","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00008*",
"009","009","cp00009","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39182","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00009*",
"010","010","mon00010","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070018","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00010*",
"011","011","te00011","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130090717","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00011*",
"012","012","mou00012","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00012*",
"013","013","cp00013","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39190","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00013*",
"014","014","mon00014","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070876","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00014*",
"015","015","te00015","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130090719","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00015*",
"016","016","mou00016","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00016*",
"017","017","cp00017","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39186","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00017*",
"018","018","mon00018","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070838","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00018*",
"019","019","te00019","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091718","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00019*",
"020","020","mou00020","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00020*",
"021","021","cp00021","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39198","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00021*",
"022","022","mon00022","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070638","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00022*",
"023","023","te00023","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091719","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00023*",
"024","024","mou00024","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00024*",
"025","025","cp00025","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","102SN55107","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00025*",
"026","026","mon00026","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070037","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00026*",
"027","027","te00027","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091731","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00027*",
"028","028","mou00028","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00028*",
"029","029","cp00029","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","102SN55106","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00029*",
"030","030","mon00030","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070115","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00030*",
"031","031","te00031","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091732","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00031*",
"032","032","mou00032","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00032*",
"033","033","cp00033","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39204","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00033*",
"034","034","mon00034","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070874","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00034*",
"035","035","te00035","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130090731","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00035*",
"036","036","mou00036","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00036*",
"037","037","cp00037","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39214","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00037*",
"038","038","mon00038","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070105","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00038*",
"039","039","te00039","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130090732","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00039*",
"040","040","mou00040","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00040*",
"041","041","cp00041","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39189","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00041*",
"042","042","mon00042","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","COM2024CM21070010","Campuslands","0","Salon Sputnik","mon-Bodg50-9051-900-0017 GMR ESC   ","*00042*",
"043","043","te00043","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091733","Campuslands","0","Salon Sputnik","te-Bodg50-9051-900-0017 GMR ESC   ","*00043*",
"044","044","mou00044","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","KBM130091713 ","Campuslands","0","Salon Sputnik","mou-Bodg50-9051-900-0017 GMR ESC   ","*00044*",
"045","045","cp00045","COMPUMAX","EQUIPO DE COMPUTO","mon","11000","Compumax Computer ","400SN39223","Campuslands","0","Salon Sputnik","cp-Bodg50-9051-900-0017 GMR ESC   ","*00045*",
